id,scope,type,source,query,status,latency,outer_type,passed,reason,failed_checks,response
4,guest,rag_exact,rag_accuracy,What time does the library close?,OK,31.605,message,False,missing_expected_any:['library'],missing_expected_any:['library'],"I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
2,guest,rag_exact,rag_accuracy,How much is the hostel fee?,OK,33.135,message,False,"missing_expected_any:['rm', 'hostel', 'fee']; rag_exact_returned_no_data","missing_expected_any:['rm', 'hostel', 'fee']|rag_exact_returned_no_data","I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
1,guest,rag_exact,rag_accuracy,Where is Block A?,TIMEOUT,35.011,error,False,request_error,TIMEOUT,timeout
3,guest,rag_exact,rag_accuracy,What is the tuition fee for Computer Science?,TIMEOUT,37.034,error,False,request_error,TIMEOUT,timeout
5,guest,rag_exact,rag_accuracy,Do you have a shuttle bus service?,TIMEOUT,35.001,error,False,request_error,TIMEOUT,timeout
6,guest,rag_negative,rag_accuracy,What is the fee for the Mars Campus?,TIMEOUT,35.016,error,False,request_error,TIMEOUT,timeout
7,guest,rag_negative,rag_accuracy,Who is Professor Spiderman?,TIMEOUT,37.018,error,False,request_error,TIMEOUT,timeout
8,guest,rag_negative,rag_accuracy,What is the tuition for Jedi training?,TIMEOUT,37.023,error,False,request_error,TIMEOUT,timeout
12,guest,rag_exact,rag_accuracy,When is the next intake for 2026?,OK,20.531,message,False,rag_exact_returned_no_data,rag_exact_returned_no_data,"I could not find reliable information in the current UCSI knowledge base. Please ask with specific keywords (programme name, block, intake, staff role), or request a data update."
9,guest,rag_exact,rag_accuracy,List all engineering majors,TIMEOUT,37.031,error,False,request_error,TIMEOUT,timeout
10,guest,rag_exact,rag_accuracy,Is there a gym on campus?,TIMEOUT,37.05,error,False,request_error,TIMEOUT,timeout
11,guest,rag_exact,rag_accuracy,How do I apply for a scholarship?,TIMEOUT,37.026,error,False,request_error,TIMEOUT,timeout
13,guest,rag_exact,rag_accuracy,Who is the Vice Chancellor?,OK,22.51,message,False,missing_expected_any:['vice chancellor'],missing_expected_any:['vice chancellor'],I encountered an error processing your request.
14,guest,rag_exact,rag_accuracy,Is there a cafeteria on campus?,OK,33.475,message,True,ok,,"I see a KK Super Mart on South Campus that's open 24/7. It's a convenience store, so it might have some food options, but it's not a cafeteria. Are you looking for a place with a wider range of meal options?"
